id,rol,victima_x,sexo,edad,fecha_fallecimiento,categoria_edad,n_victimas,fecha,anio,mes,dia,nombre_dia,laboral,hora_exacta,hora,categoria_hora,tipo_calle,calle,cruce,direccion_norm,comuna,latitud,longitud,participantes,victima_y,acusado
2017-0112,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,0.0,2017-09-13,edad_desconocida,2,2017-09-10,2017,9,10,domingo,No Laboral,09:32:17,9,mañana,AUTOPISTA,AUTOPISTA 25 DE MAYO,,AUTOPISTA 25 DE MAYO y VARELA AV.,7,-34.63997430,-58.45807401,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2017-0113,PEATON,PEATON,FEMENINO,76.0,2017-09-11,entre_60_y_80,1,2017-09-11,2017,9,11,lunes,Laboral,06:30:00,6,mañana,AVENIDA,SANTA FE AV.,MAIPU,SANTA FE AV. y MAIPU,1,-34.59573848,-58.37697717,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0114,CONDUCTOR,AUTO,MASCULINO,26.0,2017-09-15,entre_20_y_40,1,2017-09-15,2017,9,15,viernes,Laboral,02:30:00,2,noche,AVENIDA,ALVEAR AV.,DEL LIBERTADOR AV.,ALVEAR AV. y DEL LIBERTADOR AV.,2,-34.58498660,-58.39100580,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2017-0115,CONDUCTOR,MOTO,MASCULINO,34.0,,entre_20_y_40,1,2017-09-19,2017,9,19,martes,Laboral,18:52:33,18,tarde-noche,AVENIDA,PAVON AV.,TREINTA Y TRES ORIENTALES,PAVON AV. y TREINTA Y TRES ORIENTALES,5,-34.63089661,-58.42182126,MOTO-BICICLETA,MOTO,BICICLETA
2017-0116,CONDUCTOR,MOTO,MASCULINO,22.0,2017-09-20,entre_20_y_40,1,2017-09-20,2017,9,20,miércoles,Laboral,22:24:00,22,tarde-noche,GRAL PAZ,"PAZ, GRAL. AV.",,"PAZ, GRAL. AV. 5750",12,-34.58075791,-58.51389422,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2017-0118,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,26.0,2017-09-29,entre_20_y_40,1,2017-09-22,2017,9,22,viernes,Laboral,07:02:09,7,mañana,AVENIDA,VIEYTES,"CRUZ, OSVALDO AV.","VIEYTES y CRUZ, OSVALDO AV.",4,-34.65232158,-58.37585415,MOTO-AUTO,MOTO,AUTO
2017-0120,CONDUCTOR,MOTO,MASCULINO,20.0,2017-10-02,entre_20_y_40,1,2017-10-02,2017,10,2,lunes,Laboral,15:55:33,15,tarde,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,ESCALADA AV.,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y ESCALADA AV.,9,-34.66245085,-58.47297505,MOTO-CARGAS,MOTO,CARGAS
2017-0123,PEATON,PEATON,FEMENINO,36.0,2017-10-10,entre_20_y_40,1,2017-10-10,2017,10,10,martes,Laboral,01:05:38,1,noche,AVENIDA,ALBARI?O,ARGENTINA AV.,ALBARIÃ‘O y ARGENTINA AV.,8,-34.67216349,-58.46855503,PEATON-AUTO,PEATON,AUTO
2017-0124,CONDUCTOR,MOTO,MASCULINO,51.0,2017-10-12,entre_40_y_60,1,2017-10-12,2017,10,12,jueves,Laboral,14:40:28,14,tarde,CALLE,"RAMIREZ DE VELASCO, JUAN",,"RAMIREZ DE VELASCO, JUAN 1211",15,-34.59185043,-58.44254033,MOTO-PASAJEROS,MOTO,PASAJEROS
2017-0125,CONDUCTOR,MOTO,MASCULINO,29.0,2017-10-13,entre_20_y_40,1,2017-10-13,2017,10,13,viernes,Laboral,06:12:20,6,mañana,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",LARRAYA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y LARRAYA",8,-34.67926929,-58.46622247,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2017-0126,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,39.0,,entre_20_y_40,2,2017-10-14,2017,10,14,sábado,No Laboral,06:15:00,6,mañana,AVENIDA,RIESTRA AV.,CA?ADA DE GOMEZ,RIESTRA AV. y CAÃ‘ADA DE GOMEZ,8,-34.68148508,-58.48003734,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2017-0126,CONDUCTOR,AUTO,MASCULINO,36.0,2017-10-14,entre_20_y_40,2,2017-10-14,2017,10,14,sábado,No Laboral,06:15:00,6,mañana,AVENIDA,RIESTRA AV.,CA?ADA DE GOMEZ,RIESTRA AV. y CAÃ‘ADA DE GOMEZ,8,-34.68148508,-58.48003734,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2017-0127,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,24.0,2017-10-16,entre_20_y_40,1,2017-10-16,2017,10,16,lunes,Laboral,07:45:00,7,mañana,AVENIDA,GALLO,CORDOBA AV.,GALLO y CORDOBA AV.,2,-34.59800248,-58.41192137,MOTO-MOTO,MOTO,MOTO
2017-0128,PEATON,PEATON,FEMENINO,60.0,2017-10-17,entre_60_y_80,1,2017-10-17,2017,10,17,martes,Laboral,12:30:00,12,tarde,CALLE,"ARANGUREN, JUAN F., DR.",,"ARANGUREN, JUAN F., DR. 611",6,-34.61349731,-58.44034689,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0129,CONDUCTOR,MOTO,MASCULINO,57.0,2017-10-26,entre_40_y_60,1,2017-10-26,2017,10,26,jueves,Laboral,19:15:15,19,tarde-noche,AUTOPISTA,AUTOPISTA PERITO MORENO,AUTOPISTA 25 DE MAYO,AUTOPISTA PERITO MORENO y AUTOPISTA 25 DE MAYO,9,-34.64925746,-58.47155277,MOTO-PASAJEROS,MOTO,PASAJEROS
2017-0130,CONDUCTOR,AUTO,MASCULINO,23.0,2017-10-27,entre_20_y_40,1,2017-10-27,2017,10,27,viernes,Laboral,05:30:00,5,noche,AVENIDA,CHORROARIN,SAN MARTIN AV.,CHORROARIN y SAN MARTIN AV.,15,-34.59967065,-58.47883099,AUTO-CARGAS,AUTO,CARGAS
