id,rol,victima,sexo,edad,fecha_fallecimiento,categoria_edad
2017-0104,PEATON,PEATON,FEMENINO,18.0,2017-08-25,entre_0_y_20
2017-0106,PEATON,PEATON,FEMENINO,85.0,2017-08-31,mas_de_80
2017-0107,CONDUCTOR,MOTO,MASCULINO,41.0,2017-09-01,entre_40_y_60
2017-0108,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,17.0,2017-09-02,entre_0_y_20
2017-0108,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,10.0,2017-09-02,entre_0_y_20
2017-0109,CONDUCTOR,MOTO,MASCULINO,21.0,2017-09-05,entre_20_y_40
2017-0110,PEATON,PEATON,MASCULINO,56.0,2017-09-07,entre_40_y_60
2017-0111,PEATON,PEATON,FEMENINO,79.0,2017-09-07,entre_60_y_80
2017-0112,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,1.0,,entre_0_y_20
2017-0112,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,0.0,2017-09-13,edad_desconocida
2017-0113,PEATON,PEATON,FEMENINO,76.0,2017-09-11,entre_60_y_80
2017-0114,CONDUCTOR,AUTO,MASCULINO,26.0,2017-09-15,entre_20_y_40
2017-0115,CONDUCTOR,MOTO,MASCULINO,34.0,,entre_20_y_40
2017-0116,CONDUCTOR,MOTO,MASCULINO,22.0,2017-09-20,entre_20_y_40
2017-0118,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,26.0,2017-09-29,entre_20_y_40
2017-0120,CONDUCTOR,MOTO,MASCULINO,20.0,2017-10-02,entre_20_y_40
2017-0123,PEATON,PEATON,FEMENINO,36.0,2017-10-10,entre_20_y_40
2017-0124,CONDUCTOR,MOTO,MASCULINO,51.0,2017-10-12,entre_40_y_60
2017-0125,CONDUCTOR,MOTO,MASCULINO,29.0,2017-10-13,entre_20_y_40
2017-0126,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,39.0,,entre_20_y_40
2017-0126,CONDUCTOR,AUTO,MASCULINO,36.0,2017-10-14,entre_20_y_40
